AGENCY:002 MAYORALTY
AGENCY:003 BOARD OF ELECTIONS
AGENCY:004 CAMPAIGN FINANCE BOARD
AGENCY:008 OFFICE OF THE ACTUARY
AGENCY:010 BOROUGH PRESIDENT - MANHATTAN
AGENCY:011 BOROUGH PRESIDENT BRONX
AGENCY:012 BOROUGH PRESIDENT - BROOKLYN
AGENCY:013 BOROUGH PRESIDENT - QUEENS
AGENCY:014 BOROUGH PRESIDENT STATEN ISLAND
AGENCY:015 OFFICE OF THE COMPTROLLER
AGENCY:017 DEPARTMENT OF EMERGENCY MANAGEMENT
AGENCY:021 OFFICE OF ADMINISTRATIVE TAX APPEALS
AGENCY:025 LAW DEPARTMENT
AGENCY:030 DEPARTMENT OF CITY PLANNING
AGENCY:032 DEPARTMENT OF INVESTIGATION
AGENCY:035 NEW YORK RESEARCH LIBRARIES
AGENCY:037 NEW YORK PUBLIC LIBRARY
AGENCY:038 BROOKLYN PUBLIC LIBRARY
AGENCY:039 QUEENS BOROUGH PUBLIC LIBRARY
AGENCY:040 DEPARTMENT OF EDUCATION
AGENCY:042 CITY UNIVERSITY OF NEW YORK
AGENCY:054 CIVILIAN COMPLAINT REVIEW BOARD
AGENCY:056 POLICE DEPARTMENT
AGENCY:057 FIRE DEPARTMENT
AGENCY:068 ADMIN FOR CHILDREN'S SERVICES
AGENCY:069 DEPARTMENT OF SOCIAL SERVICES
AGENCY:071 DEPARTMENT OF HOMELESS SERVICES
AGENCY:072 DEPARTMENT OF CORRECTION
AGENCY:073 BOARD OF CORRECTION
AGENCY:095 PENSION CONTRIBUTIONS
AGENCY:098 MISCELLANEOUS
AGENCY:099 DEBT SERVICE
AGENCY:101 PUBLIC ADVOCATE
AGENCY:102 CITY COUNCIL
AGENCY:103 CITY CLERK
AGENCY:125 DEPARTMENT FOR THE AGING
AGENCY:126 DEPARTMENT OF CULTURAL AFFAIRS
AGENCY:127 FINANCIAL INFORMATION SERVICE AGENCY
AGENCY:131 OFFICE OF PAYROLL ADMINISTRATION
AGENCY:132 INDEPENDENT BUDGET OFFICE
AGENCY:133 EQUAL EMPLOYMENT PRACTICES COMMISSION
AGENCY:134 CIVIL SERVICE COMMISSION
AGENCY:136 LANDMARKS PRESERVATION COMM.
AGENCY:156 NYC TAXI AND LIMOUSINE COMM
AGENCY:226 COMMISSION ON HUMAN RIGHTS
AGENCY:260 DEPARTMENT OF YOUTH & COMMUNITY DEV
AGENCY:312 CONFLICTS OF INTEREST BOARD
AGENCY:313 OFFICE OF COLLECTIVE BARGAINING
AGENCY:341 MANHATTAN COMMUNITY BOARD #1
AGENCY:342 MANHATTAN COMMUNITY BOARD #2
AGENCY:343 MANHATTAN COMMUNITY BOARD #3
AGENCY:344 MANHATTAN COMMUNITY BOARD #4
AGENCY:345 MANHATTAN COMMUNITY BOARD #5
AGENCY:346 MANHATTAN COMMUNITY BOARD #6
AGENCY:347 MANHATTAN COMMUNITY BOARD #7
AGENCY:348 MANHATTAN COMMUNITY BOARD #8
AGENCY:349 MANHATTAN COMMUNITY BOARD #9
AGENCY:350 MANHATTAN COMMUNITY BOARD #10
AGENCY:351 MANHATTAN COMMUNITY BOARD #11
AGENCY:352 MANHATTAN COMMUNITY BOARD #12
AGENCY:381 BRONX COMMUNITY BOARD #1
AGENCY:382 BRONX COMMUNITY BOARD #2
AGENCY:383 BRONX COMMUNITY BOARD #3
AGENCY:384 BRONX COMMUNITY BOARD #4
AGENCY:385 BRONX COMMUNITY BOARD #5
AGENCY:386 BRONX COMMUNITY BOARD #6
AGENCY:387 BRONX COMMUNITY BOARD #7
AGENCY:388 BRONX COMMUNITY BOARD #8
AGENCY:389 BRONX COMMUNITY BOARD #9
AGENCY:390 BRONX COMMUNITY BOARD #10
AGENCY:391 BRONX COMMUNITY BOARD #11
AGENCY:392 BRONX COMMUNITY BOARD #12
AGENCY:431 QUEENS COMMUNITY BOARD #1
AGENCY:432 QUEENS COMMUNITY BOARD #2
AGENCY:433 QUEENS COMMUNITY BOARD #3
AGENCY:434 QUEENS COMMUNITY BOARD #4
AGENCY:435 QUEENS COMMUNITY BOARD #5
AGENCY:436 QUEENS COMMUNITY BOARD #6
AGENCY:437 QUEENS COMMUNITY BOARD #7
AGENCY:438 QUEENS COMMUNITY BOARD #8
AGENCY:439 QUEENS COMMUNITY BOARD #9
AGENCY:440 QUEENS COMMUNITY BOARD #10
AGENCY:441 QUEENS COMMUNITY BOARD #11
AGENCY:442 QUEENS COMMUNITY BOARD #12
AGENCY:443 QUEENS COMMUNITY BOARD #13
AGENCY:444 QUEENS COMMUNITY BOARD #14
AGENCY:471 BROOKLYN COMMUNITY BOARD #1
AGENCY:472 BROOKLYN COMMUNITY BOARD #2
AGENCY:473 BROOKLYN COMMUNITY BOARD #3
AGENCY:474 BROOKLYN COMMUNITY BOARD #4
AGENCY:475 BROOKLYN COMMUNITY BOARD #5
AGENCY:476 BROOKLYN COMMUNITY BOARD #6
AGENCY:477 BROOKLYN COMMUNITY BOARD #7
AGENCY:478 BROOKLYN COMMUNITY BOARD #8
AGENCY:479 BROOKLYN COMMUNITY BOARD #9
AGENCY:480 BROOKLYN COMMUNITY BOARD #10
AGENCY:481 BROOKLYN COMMUNITY BOARD #11
AGENCY:482 BROOKLYN COMMUNITY BOARD #12
AGENCY:483 BROOKLYN COMMUNITY BOARD #13
AGENCY:484 BROOKLYN COMMUNITY BOARD #14
AGENCY:485 BROOKLYN COMMUNITY BOARD #15
AGENCY:486 BROOKLYN COMMUNITY BOARD #16
AGENCY:487 BROOKLYN COMMUNITY BOARD #17
AGENCY:488 BROOKLYN COMMUNITY BOARD #18
AGENCY:491 STATEN ISLAND COMMUNITY BOARD #1
AGENCY:492 STATEN ISLAND COMMUNITY BOARD #2
AGENCY:493 STATEN ISLAND COMMUNITY BOARD #3
AGENCY:781 DEPARTMENT OF PROBATION
AGENCY:801 DEPARTMENT OF SMALL BUSINESS SERVICES
AGENCY:806 HOUSING PRESERVATION AND DEVELOPMENT
AGENCY:810 DEPARTMENT OF BUILDINGS
AGENCY:816 DEPARTMENT OF HEALTH AND MENTAL HYGIENE
AGENCY:819 HEALTH AND HOSPITALS CORP
AGENCY:820 OFFICE OF ADMIN TRIALS &
AGENCY:820 OFFICE OF ADMIN TRIALS & HEARINGS
AGENCY:820 OFFICE OF ADMIN TRIALS &   HEARINGS
AGENCY:820 OFFICE OF ADMIN TRIALS &    HEARINGS
AGENCY:826 DEPARTMENT OF ENVIRONMENTAL PROTECT.
AGENCY:827 DEPARTMENT OF SANITATION
AGENCY:829 BUSINESS INTEGRITY COMMISSION
AGENCY:836 DEPARTMENT OF FINANCE
AGENCY:841 DEPARTMENT OF TRANSPORTATION
AGENCY:846 DEPARTMENT OF PARKS AND RECREATION
AGENCY:850 DEPARTMENT OF DESIGN & CONSTRUCTION
AGENCY:856 DEPARTMENT OF CITYWIDE ADMIN SERVICE
AGENCY:858 DEPARTMENT OF INFO TECH & TELECOMM
AGENCY:860 DEPARTMENT OF RECORDS & INFORMATION SVS
AGENCY:866 DEPARTMENT OF CONSUMER AFFAIRS
AGENCY:901 DISTRICT ATTORNEY NEW YORK COUNTY
AGENCY:902 DISTRICT ATTORNEY BRONX COUNTY
AGENCY:903 DISTRICT ATTORNEY KINGS COUNTY
AGENCY:904 DISTRICT ATTORNEY QUEENS COUNTY
AGENCY:905 DISTRICT ATTORNEY RICHMOND COUNTY
AGENCY:906 OFFICE OF PROSECUTION SPEC NARCO
AGENCY:941 PUBLIC ADMINISTRATOR-NEW YORK COUNTY
AGENCY:942 PUBLIC ADMINISTRATOR-BRONX COUNTY
AGENCY:943 PUBLIC ADMINISTRATOR-KINGS COUNTY
AGENCY:944 PUBLIC ADMINISTRATOR- QUEENS COUNTY
AGENCY:945 PUBLIC ADMINISTRATOR-RICHMOND COUNTY
AGENCY:*** CITYWIDE
